Annotation	Gene	Input
GO:0005576_extracellular region	Pzp	1	
GO:0005615_extracellular space	Pzp	1	
GO:0005737_cytoplasm	Aanat	1	
GO:0005829_cytosol	Aanat	1	
GO:0048471_perinuclear region of cytoplasm	Aanat	1	
GO:0005737_cytoplasm	Aatk	1	
GO:0005783_endoplasmic reticulum	Aatk	1	
GO:0016020_membrane	Aatk	1	
GO:0016021_integral component of membrane	Aatk	1	
GO:0042995_cell projection	Aatk	1	
GO:0044295_axonal growth cone	Aatk	1	
GO:0048471_perinuclear region of cytoplasm	Aatk	1	
GO:0055037_recycling endosome	Aatk	1	
GO:0005794_Golgi apparatus	Abca1	1	
GO:0005886_plasma membrane	Abca1	1	
GO:0005886_plasma membrane	Abca1	1	
GO:0005887_integral component of plasma membrane	Abca1	1	
GO:0005887_integral component of plasma membrane	Abca1	1	
GO:0009897_external side of plasma membrane	Abca1	1	
GO:0009986_cell surface	Abca1	1	
GO:0016020_membrane	Abca1	1	
GO:0016021_integral component of membrane	Abca1	1	
GO:0030139_endocytic vesicle	Abca1	1	
GO:0034364_high-density lipoprotein particle	Abca1	1	
GO:0043231_intracellular membrane-bounded organelle	Abca1	1	
GO:0045121_membrane raft	Abca1	1	
GO:0045335_phagocytic vesicle	Abca1	1	
GO:0048471_perinuclear region of cytoplasm	Abca1	1	
GO:0001750_photoreceptor outer segment	Abca4	1	
GO:0005887_integral component of plasma membrane	Abca4	1	
GO:0016020_membrane	Abca4	1	
GO:0016021_integral component of membrane	Abca4	1	
GO:0043231_intracellular membrane-bounded organelle	Abca4	1	
GO:0005764_lysosome	Abca2	1	
GO:0005765_lysosomal membrane	Abca2	1	
GO:0005768_endosome	Abca2	1	
GO:0005815_microtubule organizing center	Abca2	1	
GO:0016020_membrane	Abca2	1	
GO:0016021_integral component of membrane	Abca2	1	
GO:0031410_cytoplasmic vesicle	Abca2	1	
GO:0043231_intracellular membrane-bounded organelle	Abca2	1	
GO:0005739_mitochondrion	Abcb7	1	
GO:0005743_mitochondrial inner membrane	Abcb7	1	
GO:0005743_mitochondrial inner membrane	Abcb7	1	
GO:0016020_membrane	Abcb7	1	
GO:0016021_integral component of membrane	Abcb7	1	
GO:0005739_mitochondrion	Abcg1	1	
GO:0005768_endosome	Abcg1	1	
GO:0005794_Golgi apparatus	Abcg1	1	
GO:0005886_plasma membrane	Abcg1	1	
GO:0009897_external side of plasma membrane	Abcg1	1	
GO:0009897_external side of plasma membrane	Abcg1	1	
GO:0016020_membrane	Abcg1	1	
GO:0016021_integral component of membrane	Abcg1	1	
GO:0055037_recycling endosome	Abcg1	1	
GO:0005622_intracellular	Abi1	1	
GO:0005634_nucleus	Abi1	1	
GO:0005737_cytoplasm	Abi1	1	
GO:0005856_cytoskeleton	Abi1	1	
GO:0005886_plasma membrane	Abi1	1	
GO:0016020_membrane	Abi1	1	
GO:0030027_lamellipodium	Abi1	1	
GO:0030027_lamellipodium	Abi1	1	
GO:0030054_cell junction	Abi1	1	
GO:0030175_filopodium	Abi1	1	
GO:0031209_SCAR complex	Abi1	1	
GO:0031252_cell leading edge	Abi1	1	
GO:0042995_cell projection	Abi1	1	
GO:0043005_neuron projection	Abi1	1	
GO:0045202_synapse	Abi1	1	
GO:0045211_postsynaptic membrane	Abi1	1	
GO:0070062_extracellular exosome	Abi1	1	
GO:0001726_ruffle	Abl1	1	
GO:0005634_nucleus	Abl1	1	
GO:0005634_nucleus	Abl1	1	
GO:0005654_nucleoplasm	Abl1	1	
GO:0005730_nucleolus	Abl1	1	
GO:0005737_cytoplasm	Abl1	1	
GO:0005737_cytoplasm	Abl1	1	
GO:0005739_mitochondrion	Abl1	1	
GO:0005783_endoplasmic reticulum	Abl1	1	
GO:0005829_cytosol	Abl1	1	
GO:0005829_cytosol	Abl1	1	
GO:0005856_cytoskeleton	Abl1	1	
GO:0015629_actin cytoskeleton	Abl1	1	
