Annotation	Gene	Input
GO:0004866_endopeptidase inhibitor activity	Pzp	1	
GO:0004867_serine-type endopeptidase inhibitor activity	Pzp	1	
GO:0030414_peptidase inhibitor activity	Pzp	1	
GO:0032403_protein complex binding	Pzp	1	
GO:0048403_brain-derived neurotrophic factor binding	Pzp	1	
GO:0048406_nerve growth factor binding	Pzp	1	
GO:0004059_aralkylamine N-acetyltransferase activity	Aanat	1	
GO:0004060_arylamine N-acetyltransferase activity	Aanat	1	
GO:0008080_N-acetyltransferase activity	Aanat	1	
GO:0016740_transferase activity	Aanat	1	
GO:0016746_transferase activity, transferring acyl groups	Aanat	1	
GO:0071889_14-3-3 protein binding	Aanat	1	
GO:0000166_nucleotide binding	Aatk	1	
GO:0004672_protein kinase activity	Aatk	1	
GO:0004674_protein serine/threonine kinase activity	Aatk	1	
GO:0004713_protein tyrosine kinase activity	Aatk	1	
GO:0005515_protein binding	Aatk	1	
GO:0005524_ATP binding	Aatk	1	
GO:0016301_kinase activity	Aatk	1	
GO:0016740_transferase activity	Aatk	1	
GO:0000166_nucleotide binding	Abca1	1	
GO:0005102_receptor binding	Abca1	1	
GO:0005215_transporter activity	Abca1	1	
GO:0005515_protein binding	Abca1	1	
GO:0005524_ATP binding	Abca1	1	
GO:0005548_phospholipid transporter activity	Abca1	1	
GO:0005548_phospholipid transporter activity	Abca1	1	
GO:0005548_phospholipid transporter activity	Abca1	1	
GO:0008509_anion transmembrane transporter activity	Abca1	1	
GO:0016887_ATPase activity	Abca1	1	
GO:0017127_cholesterol transporter activity	Abca1	1	
GO:0017127_cholesterol transporter activity	Abca1	1	
GO:0017127_cholesterol transporter activity	Abca1	1	
GO:0019905_syntaxin binding	Abca1	1	
GO:0031267_small GTPase binding	Abca1	1	
GO:0034185_apolipoprotein binding	Abca1	1	
GO:0034186_apolipoprotein A-I binding	Abca1	1	
GO:0034188_apolipoprotein A-I receptor activity	Abca1	1	
GO:0042626_ATPase activity, coupled to transmembrane movement of substances	Abca1	1	
GO:0042626_ATPase activity, coupled to transmembrane movement of substances	Abca1	1	
GO:0051117_ATPase binding	Abca1	1	
GO:0090554_phosphatidylcholine-translocating ATPase activity	Abca1	1	
GO:0090556_phosphatidylserine-translocating ATPase activity	Abca1	1	
GO:0000166_nucleotide binding	Abca4	1	
GO:0004012_phospholipid-translocating ATPase activity	Abca4	1	
GO:0005215_transporter activity	Abca4	1	
GO:0005524_ATP binding	Abca4	1	
GO:0005548_phospholipid transporter activity	Abca4	1	
GO:0016887_ATPase activity	Abca4	1	
GO:0042626_ATPase activity, coupled to transmembrane movement of substances	Abca4	1	
GO:0090555_phosphatidylethanolamine-translocating ATPase activity	Abca4	1	
GO:0000166_nucleotide binding	Abca2	1	
GO:0005215_transporter activity	Abca2	1	
GO:0005524_ATP binding	Abca2	1	
GO:0016887_ATPase activity	Abca2	1	
GO:0042626_ATPase activity, coupled to transmembrane movement of substances	Abca2	1	
GO:0000166_nucleotide binding	Abcb7	1	
GO:0005524_ATP binding	Abcb7	1	
GO:0016887_ATPase activity	Abcb7	1	
GO:0042626_ATPase activity, coupled to transmembrane movement of substances	Abcb7	1	
GO:0000166_nucleotide binding	Abcg1	1	
GO:0005524_ATP binding	Abcg1	1	
GO:0005548_phospholipid transporter activity	Abcg1	1	
GO:0016887_ATPase activity	Abcg1	1	
GO:0017127_cholesterol transporter activity	Abcg1	1	
GO:0017127_cholesterol transporter activity	Abcg1	1	
GO:0019534_toxin transporter activity	Abcg1	1	
GO:0034041_sterol-transporting ATPase activity	Abcg1	1	
GO:0034041_sterol-transporting ATPase activity	Abcg1	1	
GO:0034437_glycoprotein transporter activity	Abcg1	1	
GO:0042803_protein homodimerization activity	Abcg1	1	
GO:0043531_ADP binding	Abcg1	1	
GO:0046982_protein heterodimerization activity	Abcg1	1	
GO:0005515_protein binding	Abi1	1	
GO:0008134_transcription factor binding	Abi1	1	
GO:0017124_SH3 domain binding	Abi1	1	
GO:0030296_protein tyrosine kinase activator activity	Abi1	1	
GO:0032403_protein complex binding	Abi1	1	
GO:0045296_cadherin binding	Abi1	1	
GO:0000166_nucleotide binding	Abl1	1	
GO:0000287_magnesium ion binding	Abl1	1	
GO:0000287_magnesium ion binding	Abl1	1	
GO:0001784_phosphotyrosine binding	Abl1	1	
GO:0003677_DNA binding	Abl1	1	
GO:0004672_protein kinase activity	Abl1	1	
GO:0004672_protein kinase activity	Abl1	1	
GO:0004713_protein tyrosine kinase activity	Abl1	1	
GO:0004713_protein tyrosine kinase activity	Abl1	1	
GO:0004713_protein tyrosine kinase activity	Abl1	1	
GO:0004713_protein tyrosine kinase activity	Abl1	1	
GO:0004715_non-membrane spanning protein tyrosine kinase activity	Abl1	1	
GO:0004715_non-membrane spanning protein tyrosine kinase activity	Abl1	1	
GO:0005080_protein kinase C binding	Abl1	1	
GO:0005102_receptor binding	Abl1	1	
GO:0005515_protein binding	Abl1	1	
GO:0005524_ATP binding	Abl1	1	
GO:0005524_ATP binding	Abl1	1	
GO:0008022_protein C-terminus binding	Abl1	1	
GO:0016301_kinase activity	Abl1	1	
GO:0016740_transferase activity	Abl1	1	
GO:0017124_SH3 domain binding	Abl1	1	
GO:0019901_protein kinase binding	Abl1	1	
