Annotation	Gene	Input
2-Oxocarboxylic acid metabolism	4933405O20Rik	1
2-Oxocarboxylic acid metabolism	Aadat	1
2-Oxocarboxylic acid metabolism	Aco1	1
2-Oxocarboxylic acid metabolism	Aco2	1
2-Oxocarboxylic acid metabolism	Acy1	1
2-Oxocarboxylic acid metabolism	Bcat1	1
2-Oxocarboxylic acid metabolism	Bcat2	1
2-Oxocarboxylic acid metabolism	Cs	1
2-Oxocarboxylic acid metabolism	Csl	1
2-Oxocarboxylic acid metabolism	Got1	1
2-Oxocarboxylic acid metabolism	Got2	1
2-Oxocarboxylic acid metabolism	Gpt	1
2-Oxocarboxylic acid metabolism	Gpt2	1
2-Oxocarboxylic acid metabolism	Idh1	1
2-Oxocarboxylic acid metabolism	Idh2	1
2-Oxocarboxylic acid metabolism	Idh3a	1
2-Oxocarboxylic acid metabolism	Idh3b	1
2-Oxocarboxylic acid metabolism	Idh3g	1
2-Oxocarboxylic acid metabolism	Nags	1
ABC transporters	Abca1	1
ABC transporters	Abca12	1
ABC transporters	Abca13	1
ABC transporters	Abca17	1
ABC transporters	Abca2	1
ABC transporters	Abca3	1
ABC transporters	Abca4	1
ABC transporters	Abca5	1
ABC transporters	Abca6	1
ABC transporters	Abca7	1
ABC transporters	Abca8a	1
ABC transporters	Abca8b	1
ABC transporters	Abca9	1
ABC transporters	Abcb10	1
ABC transporters	Abcb11	1
ABC transporters	Abcb1a	1
ABC transporters	Abcb1b	1
ABC transporters	Abcb4	1
ABC transporters	Abcb5	1
ABC transporters	Abcb6	1
ABC transporters	Abcb7	1
ABC transporters	Abcb8	1
ABC transporters	Abcb9	1
ABC transporters	Abcc1	1
ABC transporters	Abcc10	1
ABC transporters	Abcc12	1
ABC transporters	Abcc2	1
ABC transporters	Abcc3	1
ABC transporters	Abcc4	1
ABC transporters	Abcc5	1
ABC transporters	Abcc6	1
ABC transporters	Abcc8	1
ABC transporters	Abcc9	1
ABC transporters	Abcd1	1
ABC transporters	Abcd2	1
ABC transporters	Abcd3	1
ABC transporters	Abcd4	1
ABC transporters	Abcg1	1
ABC transporters	Abcg2	1
ABC transporters	Abcg3	1
ABC transporters	Abcg4	1
ABC transporters	Abcg5	1
ABC transporters	Abcg8	1
ABC transporters	Cftr	1
ABC transporters	Tap1	1
ABC transporters	Tap2	1
Activin signaling	Acvr1b	1
Activin signaling	Acvr2a	1
Activin signaling	Acvr2b	1
Activin signaling	Inhba	1
Activin signaling	Inhbb	1
Activin signaling	Inhbc	1
Activin signaling	Inhbe	1
Activin signaling	Smad2	1
Activin signaling	Smad3	1
Activin signaling	Smad4	1
Acylglycerol degradation	Cel	1
Acylglycerol degradation	Lipc	1
Acylglycerol degradation	Lipf	1
Acylglycerol degradation	Lipg	1
Acylglycerol degradation	Mgll	1
Acylglycerol degradation	Pnlip	1
Acylglycerol degradation	Pnliprp1	1
Acylglycerol degradation	Pnliprp2	1
Acylglycerol degradation	Pnpla2	1
Acylglycerol degradation	Pnpla3	1
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	Adsl	1
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	Adss	1
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	Adssl1	1
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	Ak1	1
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	Ak2	1
