TF	Gene	Input
Ehf	Pgrmc1	-1
Ehf	Fads1	-1
Ehf	Tmem150a	-1
Ehf	Slc38a4	-1
Ehf	St3gal5	-1
Ehf	0610040J01Rik	1
Ehf	1110017F19Rik	1
Ehf	1110032A04Rik	1
Ehf	1600029D21Rik	1
Ehf	1810019D21Rik	1
Ehf	1810019J16Rik	1
Ehf	1810030J14Rik	1
Ehf	1810065E05Rik	1
Ehf	2010001M06Rik	1
Ehf	2010300C02Rik	1
Ehf	2200002D01Rik	1
Ehf	2200002K05Rik	1
Ehf	2210415F13Rik	1
Ehf	2310007B03Rik	1
Ehf	2310030G06Rik	1
Ehf	2510049J12Rik	1
Ehf	2610528A11Rik	1
Ehf	2610528J11Rik	1
Ehf	5033414D02Rik	1
Ehf	5730559C18Rik	1
Ehf	8430427H17Rik	1
Ehf	9130007G19Rik	1
Ehf	9130017N09Rik	1
Ehf	9130208D14Rik	1
Ehf	9130409J20Rik	1
Ehf	AA467197	1
Ehf	AA986860	1
Ehf	Abp1	1
Ehf	Ace2	1
Ehf	Acer1	1
Ehf	Acvr1b	1
Ehf	Adamdec1	1
Ehf	Agr2	1
Ehf	AI661453	1
Ehf	Akr1c19	1
Ehf	Ang4	1
Ehf	Anks4b	1
Ehf	Ano9	1
Ehf	Anxa13	1
Ehf	Ap1m2	1
Ehf	Aqp4	1
Ehf	Areg	1
Ehf	Arhgef16	1
Ehf	Arhgef5	1
Ehf	Arl14	1
Ehf	Atoh1	1
Ehf	Atp10b	1
Ehf	Atp2c2	1
Ehf	Atp8b1	1
Ehf	AW107722	1
Ehf	B4galnt2	1
Ehf	Baiap2l1	1
Ehf	BC016579	1
Ehf	BC030870	1
Ehf	Bcas1	1
Ehf	Bspry	1
Ehf	C77080	1
Ehf	Calml4	1
Ehf	Capn9	1
Ehf	Car4	1
Ehf	Casp1	1
Ehf	Cblc	1
Ehf	Ccdc64b	1
Ehf	Ccdc68	1
Ehf	Ccl28	1
Ehf	Cd177	1
Ehf	Cdcp1	1
Ehf	Cdh1	1
Ehf	Cdh17	1
Ehf	Cdhr2	1
Ehf	Cdhr5	1
Ehf	Cds1	1
Ehf	Cdx1	1
Ehf	Ceacam1	1
Ehf	Ceacam10	1
Ehf	Ceacam20	1
Ehf	Ces2b	1
Ehf	Cftr	1
Ehf	Chmp4c	1
Ehf	Chst4	1
Ehf	Ckmt1	1
Ehf	Clca3	1
Ehf	Clca4	1
Ehf	Clca6	1
Ehf	Cldn15	1
Ehf	Cldn23	1
Ehf	Cldn3	1
Ehf	Cldn4	1
Ehf	Cldn7	1
Ehf	Cldn8	1
Ehf	Clec2h	1
Ehf	Clic6	1
Ehf	Clrn3	1
Ehf	Cnksr1	1
Ehf	Coro2a	1
Ehf	Crb3	1
Ehf	Creb3l4	1
Ehf	Cwh43	1
Ehf	Cyb561	1
Ehf	Cyp2c65	1
Ehf	Cyp2s1	1
Ehf	Degs2	1
Ehf	Dennd2d	1
Ehf	Dmbt1	1
Ehf	Dpep1	1
Ehf	Dsg2	1
Ehf	Dsp	1
Ehf	Edn2	1
Ehf	Elf3	1
Ehf	Elmo3	1
Ehf	Elovl7	1
Ehf	Endod1	1
Ehf	Epcam	1
Ehf	Eppk1	1
Ehf	Eps8	1
Ehf	Eps8l2	1
Ehf	Eps8l3	1
Ehf	Erbb2	1
Ehf	Erbb3	1
Ehf	Ern2	1
Ehf	Esrp1	1
Ehf	Esrp2	1
Ehf	Exph5	1
Ehf	F2rl1	1
Ehf	Fam3b	1
Ehf	Fam83e	1
Ehf	Fam83f	1
Ehf	Fam83h	1
Ehf	Fbp2	1
Ehf	Fbxo25	1
Ehf	Fcgbp	1
Ehf	Fgfbp1	1
Ehf	Frk	1
Ehf	Fut2	1
Ehf	Fut4	1
Ehf	Fxyd3	1
Ehf	Gal3st1	1
Ehf	Galnt12	1
Ehf	Galnt3	1
Ehf	Galnt7	1
Ehf	Gcg	1
Ehf	Gcnt3	1
Ehf	Ggt6	1
Ehf	Gipc2	1
Ehf	Glod5	1
Ehf	Glt28d2	1
Ehf	Gm1123	1
Ehf	Gm11545	1
Ehf	Gm13648	1
Ehf	Gm14446	1
Ehf	Gm3336	1
Ehf	Gm5480	1
Ehf	Gm5485	1
Ehf	Gmds	1
Ehf	Golm1	1
Ehf	Golph3l	1
Ehf	Gpa33	1
Ehf	Gpr160	1
Ehf	Gpx2	1
Ehf	Grb7	1
Ehf	Gsdmc	1
Ehf	Gsdmc2	1
Ehf	Guca2a	1
Ehf	Gucy2c	1
Ehf	Hepacam2	1
Ehf	Hnf4g	1
Ehf	Hsd11b2	1
Ehf	Hsd17b2	1
Ehf	Igsf5	1
Ehf	Ihh	1
Ehf	Il28ra	1
Ehf	Ildr1	1
Ehf	Irf6	1
Ehf	Itgb4	1
Ehf	Kcne3	1
Ehf	Kcnk1	1
Ehf	Kcnn4	1
Ehf	Kcnq1	1
Ehf	Klf4	1
Ehf	Klf5	1
Ehf	Klk1	1
Ehf	Krt19	1
Ehf	Krt20	1
Ehf	Krt7	1
Ehf	Krt8	1
Ehf	Krtcap3	1
Ehf	L1cam	1
Ehf	Lad1	1
Ehf	Lamb3	1
Ehf	Lgals12	1
Ehf	Lgals4	1
Ehf	Liph	1
Ehf	Llgl2	1
Ehf	Lrrc19	1
Ehf	Lrrc26	1
Ehf	Lrrc66	1
Ehf	Mal2	1
Ehf	Mall	1
Ehf	Mansc1	1
Ehf	Mapk13	1
Ehf	Marveld3	1
Ehf	Mep1a	1
Ehf	Mep1b	1
Ehf	Mfsd4	1
Ehf	Mfsd6	1
Ehf	Mgam	1
Ehf	Mgat4a	1
Ehf	Mgat4c	1
Ehf	Mgst2	1
Ehf	Mkrn1	1
Ehf	Mlph	1
Ehf	Ms4a8a	1
Ehf	Muc13	1
Ehf	Muc2	1
Ehf	Muc3	1
Ehf	Muc4	1
Ehf	Mxd1	1
Ehf	Myb	1
Ehf	Myh11	1
Ehf	Myh14	1
Ehf	Myo15b	1
Ehf	Myo1a	1
Ehf	Myo1d	1
Ehf	Myo5b	1
Ehf	Myo5c	1
Ehf	Myo6	1
Ehf	Myo7b	1
Ehf	Naip1	1
Ehf	Nipal2	1
Ehf	Noxo1	1
Ehf	Ocln	1
Ehf	Oit1	1
Ehf	Ovol1	1
Ehf	Pak1	1
Ehf	Parm1	1
Ehf	Pglyrp1	1
Ehf	Phgr1	1
Ehf	Pigr	1
Ehf	Pkp3	1
Ehf	Pld1	1
Ehf	Plek2	1
Ehf	Plekha6	1
Ehf	Plekhh1	1
Ehf	Pls1	1
Ehf	Pof1b	1
Ehf	Ppp1r14d	1
Ehf	Ppp1r1b	1
Ehf	Prr15l	1
Ehf	Prss30	1
Ehf	Prss32	1
Ehf	Prss8	1
Ehf	Ptger4	1
Ehf	Ptk6	1
Ehf	Ptprr	1
Ehf	Pycard	1
Ehf	Pyy	1
Ehf	Rab25	1
Ehf	Rab27b	1
Ehf	Rasef	1
Ehf	Rassf6	1
Ehf	Rassf7	1
Ehf	Reg3b	1
Ehf	Reg3g	1
Ehf	Reg4	1
Ehf	Rep15	1
Ehf	Retnlb	1
Ehf	Rfk	1
Ehf	Rgmb	1
Ehf	Rhbdl2	1
Ehf	Ripk4	1
Ehf	Rnasel	1
Ehf	Rnf186	1
Ehf	S100a14	1
Ehf	Satb2	1
Ehf	Scamp2	1
Ehf	Scin	1
Ehf	Sdcbp2	1
Ehf	Sectm1b	1
Ehf	Sema5a	1
Ehf	Serinc2	1
Ehf	Serpinb1a	1
Ehf	Serpinb6a	1
Ehf	Sgpp2	1
Ehf	Sh2d4a	1
Ehf	Slc12a8	1
Ehf	Slc13a2	1
Ehf	Slc15a1	1
Ehf	Slc25a24	1
Ehf	Slc26a2	1
