TF	Target	Corr
Isl1	Kcnip1	1
Isl1	Zdbf2	1
Isl1	Fkbp1b	1
Isl1	Fam155a	1
Isl1	Rph3al	1
Isl1	Pcsk2	1
Isl1	Fgf12	1
Isl1	Tmem179	1
Isl1	Tmem198	1
Isl1	Fam135a	1
Isl1	Rap1gap2	1
Isl1	C2cd4c	1
Isl1	Etv1	1
Isl1	Lhfpl4	1
Isl1	Pitx2	1
Isl1	Myt1	1
Isl1	Pex26	1
Isl1	Usp29	1
Isl1	Gjd2	1
Isl1	Hap1	1
Isl1	Cplx2	1
Isl1	Zkscan16	1
Isl1	Rab39b	1
Isl1	Glrb	1
Isl1	Ampd2	1
Isl1	Eml5	1
Isl1	Slc35b1	1
Isl1	Resp18	1
Isl1	Cxxc4	1
Isl1	Ctnnb1	1
Isl1	Spc25	1
Isl1	Rgs17	1
Isl1	Nap1l2	1
Isl1	Rimbp2	1
Isl1	Trpm5	1
Isl1	Syt4	1
Isl1	Sdk2	1
Isl1	Tbcd	1
Isl1	Ufc1	1
Isl1	Hs3st6	1
Isl1	Ssbp2	1
Isl1	Mapk8ip2	1
Isl1	Car10	1
Isl1	Asphd1	1
Isl1	Bace2	1
Isl1	Cdh8	1
Isl1	Rundc3b	1
Isl1	AW551984	1
Isl1	Kcnk16	1
Isl1	Tspyl4	1
Isl1	Slc7a14	1
Isl1	Tox3	1
Isl1	Glp1r	1
Isl1	Sez6l	1
Isl1	Syp	1
Isl1	Hepacam2	1
Isl1	Qsox2	1
Isl1	Sgsm1	1
Isl1	St18	1
Isl1	Scg2	1
Isl1	Scg3	1
Isl1	Gnaz	1
Isl1	Cdhr1	1
Isl1	Mdm1	1
Isl1	Rundc3a	1
Isl1	Chrna3	1
Isl1	Bicd1	1
Isl1	Sec61b	1
Isl1	Elavl4	1
Isl1	Gal	1
Isl1	Tmem59l	1
Isl1	Gip	1
Isl1	Foxp2	1
Isl1	Plcxd3	1
Isl1	Ldb1	1
Isl1	Tssc4	1
Isl1	Cpa2	1
Isl1	Syt7	1
Isl1	Brsk2	1
Isl1	Zdhhc2	1
Isl1	Hapln4	1
Isl1	Rpn1	1
Isl1	Slc24a2	1
Isl1	Rgs7	1
Isl1	Srrm3	1
Isl1	Ttc39a	1
Isl1	Baiap3	1
Isl1	Prkar1b	1
Isl1	Lhfpl5	1
Isl1	Fmn2	1
Isl1	Vwa5b2	1
Isl1	Celf4	1
Isl1	Mnx1	1
Isl1	Celf6	1
Isl1	Atp6ap2	1
Isl1	Cntnap2	1
Isl1	Tm4sf4	1
Isl1	Neurog3	1
Isl1	Gfra3	1
Isl1	Nefl	1
Isl1	Efcab1	1
Isl1	Rasgrf1	1
Isl1	Pax6	1
Isl1	Nell1	1
Isl1	Ddc	1
Isl1	Hmgcll1	1
Isl1	Rims2	1
Isl1	Iapp	1
Isl1	Stox1	1
Isl1	Rab9b	1
Isl1	Snap25	1
Isl1	C2cd4b	1
Isl1	Cerkl	1
Isl1	Cartpt	1
Isl1	Gnat2	1
Isl1	Neurod1	1
Isl1	Mtmr7	1
Isl1	Gng4	1
Isl1	Mpp3	1
Isl1	Pdia6	1
Isl1	Lgi1	1
Isl1	Syt9	1
Isl1	Celsr3	1
Isl1	Lgi2	1
Isl1	Nefm	1
Isl1	Ctxn2	1
Isl1	Cnpy2	1
Isl1	Rab3d	1
Isl1	Tmem215	1
Isl1	Pcsk1n	1
Isl1	Dpp6	1
Isl1	Cel	1
Isl1	Pex5l	1
Isl1	Aff2	1
Isl1	Celf3	1
Isl1	Stk32a	1
Isl1	Sez6l2	1
Isl1	Arhgap36	1
Isl1	Fbxl16	1
Isl1	Cmas	1
Isl1	Cntn1	1
Isl1	Abcc8	1
Isl1	Sgpp2	1
Isl1	Foxa2	1
Isl1	Gdap1l1	1
Isl1	Pbx3	1
Isl1	St8sia3	1
Isl1	Lrp11	1
Isl1	Spock1	1
Isl1	Btc	1
Isl1	Tmed6	1
Isl1	Peg3	1
Isl1	Slc25a14	1
Isl1	Fgf10	1
