GeneName	0h	1h	4h	10h	20h	36h	48h	72h	168h	4w
Marchf1	-3.729937796	-4.408148124	-3.426369577	-4.247621175	-4.715639238	-4.312778784	-3.379299694	-3.856588086	-3.146319238	-3.501746642
Marchf2	2.631479044	2.619623118	2.494690993	2.318944831	2.584018869	2.723390888	2.840072841	2.339044464	2.710203174	2.615450574
Marchf3	-3.301498617	-3.854517225	-1.941442798	-2.615267296	-3.339639957	-2.789459576	-2.605549629	-2.619732498	-3.123280084	-3.129683838
Marchf5	4.547744556	4.518386244	4.770457714	5.026367792	4.918776893	5.125341694	4.921070352	4.871626693	4.512717533	4.606280009
Marchf6	4.097565262	4.554917273	4.701672894	4.570562069	4.847227599	4.422941779	4.477666332	4.395333265	4.617940767	4.49189543
Marchf7	0.931159529	0.934032409	0.802864977	1.157049709	1.024187128	0.91399695	1.223732976	1.194086243	1.102533402	1.161859309
Marchf8	3.380441985	3.461763841	2.66711117	3.148195292	3.59487833	3.609349268	3.544986281	3.20358016	3.719328981	3.711714847
Marchf9	-3.253545561	-4.007493734	-5.047022997	-2.220074913	-2.743141097	-1.805580358	-2.629581146	-2.191879939	-2.47322546	-3.514266787
Septin1	-1.653953777	-2.442972161	-2.7784248	-3.116973959	-2.713867955	-3.081066352	-2.535626133	-2.725112888	-2.090032737	-1.586388445
Septin2	3.583466567	3.454787423	3.574495243	3.893638083	3.841147144	3.973219113	4.295521646	4.214364192	3.972839135	3.742800044
Septin3	-6.038072115	-6.573087742	-4.661475673	-5.501234231	-6.039368953	-6.51365981	-5.846946417	-5.95668513	-5.900064993	
Septin4	1.093174122	0.284667177	-1.018182985	-0.899043992	0.469594149	0.282253133	0.484173032	0.701455736	0.829245712	0.828448929
Septin5	-1.383064806	-1.999996486	-2.42333814	-0.53186698	0.629036427	0.424678678	0.58132697	0.157979553	-1.137333178	-1.405849916
Septin6	-3.530405429	-4.345508541	-4.540709416	-5.075998002	-4.750503517	-4.074316254	-2.923434907	-3.057931319	-3.940841921	-4.347237112
Septin7	3.353410172	3.206720913	3.243588323	3.772928509	3.556627661	3.774838737	4.270157792	4.190245856	3.706127628	3.339978671
Septin8	-0.945968814	-1.279397964	-1.60024676	-1.219456531	-0.901288552	-0.730629315	-0.520783122	-0.59121862	-0.828877735	-1.109452522
Septin9	2.63661725	2.540815438	1.644721398	2.492809987	2.777889756	2.318652903	2.694792246	3.054231459	3.434347288	3.276739257
Septin10	1.842613005	1.635236999	2.241301962	1.847504467	2.022829129	2.232241178	2.939059251	2.688833344	2.431903106	2.249863602
Septin11	0.789932911	0.866598731	0.727303538	2.174772662	2.167943056	1.903752734	2.552295919	2.247930675	2.044298655	1.414427673
Sep15	6.106333116	5.883061923	5.677074836	5.772639932	6.336463677	6.397178235	6.589763293	6.426241825	6.165157586	5.947950963
0610007C21Rik	4.473195541	4.274834642	3.85205434	3.859271351	4.235394688	4.150449429	4.09895972	4.094988362	4.26939679	4.247676633
0610007L01Rik	3.646693895	3.82974426	4.138090136	4.375392672	4.389526957	4.590915516	4.804673558	4.660342146	4.11827714	3.81654641
0610007P08Rik	0.295258459	0.266636711	0.539732448	0.777206156	0.859857492	0.72791091	1.049657045	1.004221578	0.722706149	0.511701968
0610007P14Rik	4.051958975	3.183339532	2.433216652	3.265856164	3.759636563	4.019994855	3.700302755	3.813211311	3.635377075	3.392259728
0610007P22Rik	2.912835716	2.486365821	2.638856173	2.968834944	2.601351449	2.817537784	2.581059998	2.589185357	2.442000202	2.50113809
0610009B22Rik	3.88064939	3.555657456	3.136997933	3.778612436	3.774825024	3.69850019	4.173392467	3.694038546	3.886677638	3.653068708
0610009D07Rik	4.292362107	3.888100672	4.129925967	4.087328138	4.011702576	4.053844102	4.148411689	3.880045033	3.862627521	4.033089982
0610009L18Rik	-1.15788828	-2.254809347	-2.89311066	-1.285302989	-1.99305786	-2.034938387	-2.496533278	-2.367028621	-2.066020738	-2.123789078
0610009O20Rik	3.168390673	2.847162605	2.93385109	3.356577583	3.318458592	3.434638116	3.904875188	3.78395946	3.531993144	3.2970823
0610010F05Rik	0.831197097	1.122041845	1.428676561	2.095082437	1.566907434	2.100453231	1.926404108	1.777125681	1.312205155	1.288641767
0610010K14Rik	-3.207622797	-3.072667794	-3.369577957	-2.686493247	-2.779414728	-3.300906879	-3.731029103	-3.356723292	-3.487650457	-2.870063681
0610010O12Rik	1.114588658	0.83410446	0.643944365	1.139948436	0.896226193	0.904453677	0.932681181	0.901563177	0.949478333	0.108081253
0610011F06Rik	6.25495451	6.041471975	5.707875297	5.339323054	5.428078482	5.550063302	5.632371632	5.48425597	5.761193555	6.010191052
0610011L14Rik	1.929376763	2.03738197	2.136505541	2.110723317	2.10123671	2.06889595	2.387492971	2.024403831	2.185289622	2.178155318
0610012H03Rik	3.125504964	2.878917317	3.306858742	3.773890317	3.76908458	3.489510509	3.52709502	3.602159889	3.892274517	3.621919697
0610030E20Rik	2.649740577	2.193737319	2.030311022	2.571629123	2.610243549	1.948661546	2.502639723	2.53353194	2.802828665	2.842369758
0610031J06Rik	2.787474217	2.70895815	2.660962296	2.727704729	2.955212884	2.981237406	3.086693433	2.905191403	2.801724375	2.716642356
0610037L13Rik	1.351671555	1.002191173	0.882755095	1.05401234	1.236354478	1.190731022	1.275389295	1.182457678	0.950836944	1.078510451
0610037P05Rik	2.870950231	2.622050787	2.262772073	2.832347954	2.959179488	3.169964712	3.967241287	3.59711092	3.171094409	2.985538259
0610039K10Rik	-3.406812804	-3.68574174	-4.842139348	-3.651717441	-3.281020979	-4.340584697	-4.267056903	-4.545198031	-4.603882067	
0610040J01Rik	3.419707543	3.434949706	3.205617326	3.313389183	3.372783184	3.703573181	3.360259229	3.436126757	3.445860843	3.498934005
0910001L09Rik	4.545630328	4.081891607	3.694487436	3.647841169	4.094282654	4.107033024	4.230974573	4.059855281	4.038934612	4.025634433
1100001G20Rik	8.934403566	8.762280153	8.896179381	8.859811465	9.345826919	9.53352658	9.588380682	9.456589791	9.156907952	8.87818
